series,transform,n_observations,used_lag,test_statistic,p_value,critical_value_1pct,critical_value_5pct,critical_value_10pct,stationary_at_5pct
total_patents,level,40,9,0.3004,0.977361,-3.6056,-2.9371,-2.607,False
total_patents,first_difference,40,8,-3.1617,0.022309,-3.6056,-2.9371,-2.607,True
