feature,importance
lag_1,0.5635216813404582
trend,0.24630139073959126
lag_2,0.09484269855545346
kw_cloud_edge_share_lag_1,0.03035069204316801
kw_iot_share_lag_1,0.016847023756866635
kw_antenna_share_lag_1,0.012293670863476634
kw_network_share_lag_1,0.011141909227666958
growth_rate_lag_1,0.006734273570844732
kw_security_share_lag_1,0.006475798555830743
kw_ai_ml_share_lag_1,0.005758713033344326
kw_data_share_lag_1,0.003224077397488402
kw_energy_share_lag_1,0.0023781001177562706
kw_5g_share_lag_1,0.00012997079805434134
