feature,importance
lag_1,0.43351334
lag_2,0.30535057
trend,0.12442751
kw_security_share_lag_1,0.03178477
kw_ai_ml_share_lag_1,0.029127913
kw_antenna_share_lag_1,0.026229056
kw_iot_share_lag_1,0.014106742
kw_network_share_lag_1,0.010474624
growth_rate_lag_1,0.008705642
kw_cloud_edge_share_lag_1,0.0069928365
kw_energy_share_lag_1,0.006532227
kw_data_share_lag_1,0.0027547744
kw_5g_share_lag_1,0.0
