year,title_len_chars,title_len_words,title_has_number,title_has_acronym,keyword_score
1976,63.333333333333336,8.86111111111111,0.0,0.08333333333333333,0.5555555555555556
1977,48.80952380952381,6.761904761904762,0.023809523809523808,0.047619047619047616,0.2619047619047619
1978,60.93333333333333,9.11111111111111,0.0,0.044444444444444446,0.37777777777777777
1979,63.642857142857146,9.0,0.0,0.07142857142857142,0.35714285714285715
1980,53.05882352941177,7.470588235294118,0.0,0.0,0.4117647058823529
1981,62.916666666666664,9.25,0.0,0.0,0.6666666666666666
1982,63.785714285714285,8.928571428571429,0.0,0.07142857142857142,0.7142857142857143
1983,60.77272727272727,8.818181818181818,0.0,0.09090909090909091,0.2727272727272727
1984,60.088235294117645,9.176470588235293,0.0,0.0,0.29411764705882354
1985,62.84615384615385,8.923076923076923,0.0,0.038461538461538464,0.38461538461538464
1986,55.63265306122449,7.938775510204081,0.0,0.08163265306122448,0.24489795918367346
1987,66.88095238095238,9.523809523809524,0.0,0.047619047619047616,0.38095238095238093
1988,57.3,7.95,0.0,0.0,0.275
1989,70.58620689655173,10.413793103448276,0.0,0.0,0.5517241379310345
1990,68.24242424242425,10.06060606060606,0.0,0.0,0.6060606060606061
1991,66.85,9.3,0.0,0.0,0.425
1992,71.18518518518519,10.0,0.0,0.07407407407407407,0.5370370370370371
1993,62.27536231884058,8.73913043478261,0.0,0.11594202898550725,0.4057971014492754
1994,57.786407766990294,8.135922330097088,0.0,0.1553398058252427,0.5339805825242718
1995,61.86486486486486,8.72972972972973,0.0,0.11711711711711711,0.5405405405405406
1996,68.38709677419355,9.580645161290322,0.0,0.12442396313364056,0.5990783410138248
1997,63.184615384615384,8.635897435897435,0.010256410256410256,0.07692307692307693,0.5025641025641026
1998,64.14864864864865,8.677927927927929,0.0045045045045045045,0.07432432432432433,0.5202702702702703
1999,66.84593023255815,8.911337209302326,0.00436046511627907,0.061046511627906974,0.5741279069767442
2000,63.67354368932039,8.712378640776699,0.0024271844660194173,0.07281553398058252,0.5206310679611651
2001,64.09159347553324,8.680050188205772,0.0075282308657465494,0.07277289836888332,0.5081555834378921
2002,64.00512163892445,8.778489116517285,0.0076824583866837385,0.1088348271446863,0.5198463508322664
2003,66.53544494720965,8.94419306184012,0.012066365007541479,0.11312217194570136,0.55052790346908
2004,65.5224171539961,9.031189083820664,0.01364522417153996,0.1442495126705653,0.5555555555555556
2005,66.51449275362319,9.166666666666666,0.007246376811594203,0.14492753623188406,0.5676328502415459
2006,64.47649572649573,8.728632478632479,0.01282051282051282,0.16666666666666666,0.5598290598290598
2007,63.0390625,8.544270833333334,0.013020833333333334,0.12239583333333333,0.5182291666666666
2008,59.82725060827251,7.975669099756691,0.009732360097323601,0.10218978102189781,0.5036496350364964
2009,59.38969072164949,7.991752577319588,0.004123711340206186,0.10927835051546392,0.44329896907216493
2010,60.015113350125944,8.149874055415617,0.003778337531486146,0.10579345088161209,0.47732997481108314
2011,61.447884416924666,8.307533539731683,0.005159958720330237,0.13003095975232198,0.478844169246646
2012,63.5507614213198,8.785109983079526,0.007614213197969543,0.14974619289340102,0.5076142131979695
2013,63.61689291101056,8.720965309200603,0.011312217194570135,0.19607843137254902,0.5746606334841629
2014,63.76016499705362,8.757807896287567,0.01060695344725987,0.18680023571007662,0.5922215674720094
2015,65.42536835361948,8.9513132607303,0.023062139654067906,0.1806534272901986,0.6444586803331198
2016,65.15073313782992,8.96774193548387,0.0187683284457478,0.17653958944281525,0.6346041055718475
2017,66.74296435272045,9.255784865540964,0.031269543464665414,0.1732332707942464,0.649155722326454
2018,66.61555232558139,9.186773255813954,0.03197674418604651,0.1555232558139535,0.6460755813953488
2019,66.25183823529412,9.142156862745098,0.02389705882352941,0.15318627450980393,0.6311274509803921
2020,66.69446441409059,9.220704529115745,0.03450754852624011,0.16966211358734723,0.6520488856937455
2021,63.464387464387464,8.732193732193732,0.023504273504273504,0.21794871794871795,0.6517094017094017
2022,64.77574047954866,8.894217207334274,0.029619181946403384,0.22425952045133993,0.6904090267983075
2023,64.74006622516556,8.760761589403973,0.033112582781456956,0.22019867549668873,0.6862582781456954
2024,63.15171078114913,8.566171723692705,0.02775984506132989,0.24144609425435765,0.6688185926404132
2025,63.51231945624469,8.617672047578589,0.03908241291418862,0.24299065420560748,0.6576040781648258
